United States,Germany,Netherlands,United Kingdom,Austria,Belgium,Spain,France,Canada,Switzerland,Greece,Poland,Japan,Czechia
(?<!\S)USA(?!\S),Germany,Netherlands,United Kingdom,Austria,Brussels,Spain,France,Canada,Switzerland,Greece,Poland,Japan(?!\S),Czechia
United States,Deutschland,Houten,(?<!\S)UK(?!\S),Östriche,Alken,Madrid,Paris,Windsor,(?<!\S)Bern(?!\S),Athens,Warsaw,Takatsuki City,Czech Republic
New York,Hamm,Amsterdam,Norhern Island,Austria,Belgium,Espana,Marseille,Ontario,(?<!\S)Bern(?!\S),Athens,Warsaw,Osaka,Prague
Florida,Berlin,Rotterdam,England,Austria,Belgium,Barcelona,Lyon,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Tokyo,Prague
Daytona,Mannheim,Den Helder,Scotland,Austria,Belgium,Valencia,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Sapporo,Prague
Miami,Schwabbruck,The Hague,Wales,Austria,Belgium,Arroyomolinos,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Hokkaido,Prague
San Antonio,Norddeutschland,Leeuwarden,"(?<!\S)UK,",Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Texas,Leipzig,Rotterdam,(?<!\S)UK.,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Tinley,Hamburg,Rotterdam,Dronfield,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Illinois,Freiburg,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Buffalo,Breisgau,Rotterdam,Belfast,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
White Plains,Weigheim,Rotterdam,Northern Ireland,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
