Symbol,Code
ALL,ALL
AFN,AFN
ARS,ARS
AWG,AWG
AUD,AUD
AZN,AZN
BSD,BSD
BBD,BBD
BYN,BYN
BZD,BZD
BMD,BMD
BOB,BOB
BAM,BAM
BWP,BWP
BGN,BGN
BRL,BRL
BND,BND
KHR,KHR
CAD,CAD
KYD,KYD
CLP,CLP
CNY,CNY
COP,COP
CRC,CRC
HRK,HRK
CUP,CUP
CZK,CZK
DKK,DKK
DOP,DOP
XCD,XCD
EGP,EGP
SVC,SVC
EUR,EUR
FKP,FKP
FJD,FJD
GHS,GHS
GIP,GIP
GTQ,GTQ
GGP,GGP
GYD,GYD
HNL,HNL
HKD,HKD
HUF,HUF
ISK,ISK
INR,INR
IDR,IDR
IRR,IRR
IMP,IMP
ILS,ILS
JMD,JMD
JPY,JPY
JEP,JEP
KZT,KZT
KPW,KPW
KRW,KRW
KGS,KGS
LAK,LAK
LBP,LBP
LRD,LRD
MKD,MKD
MYR,MYR
MUR,MUR
MXN,MXN
MNT,MNT
MZN,MZN
NAD,NAD
NPR,NPR
ANG,ANG
NZD,NZD
NIO,NIO
NGN,NGN
NOK,NOK
OMR,OMR
PKR,PKR
PAB,PAB
PYG,PYG
PEN,PEN
PHP,PHP
PLN,PLN
QAR,QAR
RON,RON
RUB,RUB
SHP,SHP
SAR,SAR
RSD,RSD
SCR,SCR
SGD,SGD
SBD,SBD
SOS,SOS
ZAR,ZAR
LKR,LKR
SEK,SEK
CHF,CHF
SRD,SRD
SYP,SYP
TWD,TWD
THB,THB
TTD,TTD
TRY,TRY
TVD,TVD
UAH,UAH
GBP,GBP
USD,USD
UYU,UYU
UZS,UZS
VEF,VEF
VND,VND
YER,YER
ZWD,ZWD
Lek,ALL
؋,AFN
ƒ,AWG
₼,AZN
Br,BYN
BZ$,BZD
$b,BOB
KM,BAM
лв,BGN
R$,BRL
៛,KHR
¥,CNY
₡,CRC
kn,HRK
₱,CUP
Kč,CZK
kr,DKK
RD$,DOP
€,EUR
¢,GHS
Ft,HUF
kr,ISK
Rp,IDR
₪,ILS
J$,JMD
¥,JPY
лв,KZT
₩,KRW
лв,KGS
₭,LAK
ден,MKD
RM,MYR
₮,MNT
MT,MZN
ƒ,ANG
C$,NIO
₦,NGN
kr,NOK
₨,PKR
B/.,PAB
Gs,PYG
S/.,PEN
₱,PHP
zł,PLN
lei,RON
₽,RUB
﷼,SAR
Дин.,RSD
kr,SEK
NT$,TWD
฿,THB
TT$,TTD
₴,UAH
£,GBP
$,USD
$U,UYU
лв,UZS
Bs,VEF
₫,VND
Z$,ZWD
