Reptile,Synonym,Synonym2,Synonym3,Synonym4,Synonym5,Synonym6,Synonym7,Synonym8,Synonym9,Synonym10,Synonym11,Synonym12,Synonym13,Synonym14,Synonym15,Synonym16,Synonym17,Synonym18,Synonym19,Synonym20,Synonym21,Synonym22,Synonym23,Synonym24,Synonym25,Synonym26,Synonym27,Synonym28,Synonym29,Synonym30,Synonym31,Synonym32,Synonym33,Synonym34,Synonym35,Synonym36,Synonym37,Synonym38,Synonym39,Synonym40
bearded dragon,Antiguan Racer,Alsophis leucomelas antiguae,,,,,,,,,,,,,,,,,,,,,,Antigua-Schlanknatter,a. antiguae,,,,,,,,,,,,,,,
crested gecko,Guadeloupe Racer,Antilles Racer,Leeward Racer,Psammophis antillensis,Dromicus leucomelas,Dromicus Antillensis,Dromicus antillensis,Alsophis leucomelas leucomelas,,,,,,,,,,,,,,,,Antillen-Schlanknatter,Couleuvre de la Guadeloupe,a. antillensis,,,,,,,,,,,,,,
Alsophis manselli,Montserrat Racer,Alsophis leucomelas manselli,Alsophis antillensis manselli,,,,,,,,,,,,,,,,,,,,,a. manselli,,,,,,,,,,,,,,,,
Alsophis rijgersmaei,Anguilla Bank Racer,Anguilla Racer,Leeward Islands Racer,Alsophis cinereus,Alsophis rigersmaei,Alsophis rijersmai,Leeward island racer,Couresse du Banc d'Anguilla,,,,,,,,,,,,,,,,a. rjigersmaei,,,,,,,,,,,,,,,,
Alsophis rufiventris,Red-bellied Racer,Saba Racer,Orange bellied racer,Dromicus rufiventris,Orange-bellied racer,Couresse à ventre rouge,Red bellied racer,,,,,,,,,,,,,,,,,a. rufiventris,,,,,,,,,,,,,,,,
bearded dragon,Terre-De-Haut Racer,Terre De Haut Racer,Alsophis sanctonum sanctonum,Alsophis antillensis sanctonum,,,,,,,,,,,,,,,,,,,,Couresse des Saintes,a. sanctonum,,,,,,,,,,,,,,,
Alsophis sibonius,Dominica Racer,Dominican Racer,Alsophis antillensis sibonius,,,,,,,,,,,,,,,,,,,,,a. sibonius,,,,,,,,,,,,,,,,
Ameiva tobagana,Antillean Ameiva,Antillen-Ameive,Antillen Ameive,Ameiva surinamensis tobaganus,Ameiva surinamensis aquilina,Ameiva aquilina,Ameiva ameiva tobagana,,,,,,,,,,,,,,,,,a. tobagana,,,,,,,,,,,,,,,,
Amerotyphlops tasymicris,Grenada Bank Blindsnake,Grenada Worm Snake,Typhlops tasymicris,,,,,,,,,,,,,,,,,,,,,a. tasymicris,,,,,,,,,,,,,,,,
Anolis aeneus,Grenada Bush Anole,Bronze Anole,Anolis gentilis,Anolis roquet cinereus,Anolis cepedii cinereus,Anolis roquet aeneus,Anolis cepedii gentilis,Dactyloa aenea,Naʼashǫ́ʼii chį́į́shkį́hí dibéłchíʼígíí,褐色安乐蜥,褐色安樂蜥,,,,,,,,,,,,,آنول برنزی,A. aeneus,,,,,,,,,,,,,,,
Anolis bimaculatus,Statia Bank Tree Anole,Panther Anole,Lacerta bimaculata,Xiphosurus bimaculata,Ctenonotus bimaculatus,Ctenodon bimaculatum,Anolis antiquae,Anolis barbudensis,Anolis bimaculatus bimaculatus,Anolis antiguae,Naʼashǫ́ʼii chį́į́shkį́hí łibá dóó dootłʼizhígíí,St Eustatius anole,Saint Eustatius anole,,,,,,,,,,,A. bimaculatus,,,,,,,,,,,,,,,,
Anolis chrysops ,Petite Terre Anole,Anolis marmoratus chrysops,Ctenonotus marmoratus chrysops,Ctenonotus chrysops,,,,,,,,,,,,,,,,,,,,A. chrysops,,,,,,,,,,,,,,,,
Anolis cristatellus,Puerto Rican Crested Anole,Lagartija Crestada,Common Puerto Rican anole,Crested anole,Ptychonotus Istiocercus cristatellus,Xiphosurus cristatellus,Anolis lindeni,Anolis cozumelae,Ctenonotus cristatellus,Anolis cristatellus wileyae,Anolis cristatellus wileyi,Ctenonotus cristatellus wileyae,Puerto Ricó-i tarajos anolisz,Naʼashǫ́ʼii chį́į́shkį́hí binághahgoʼ hólónígíí,Гребенчатый анолис,,,,,,,,,Anolis cristatelles,Kamanolis,lagartijo común,anolis crestado,abaniquillo crestado,A. cristatellus,,,,,,,,,,,
Anolis desiradei,La Desirade Anole,Anolis marmoratus desiradei,Ctenonotus marmoratus desiradei,Ctenonotus desiradei,,,,,,,,,,,,,,,,,,,,A. desiradei,,,,,,,,,,,,,,,,
Anolis extremus,Barbados Anole,Lagartija de barbados,Anolis roquet extremus,Dactyloa extrema,Barbadosi anolisz,Naʼashǫ́ʼii chį́į́shkį́hí binákʼee halzhinígíí,,,,,,,,,,,,,,,,,,A. extremus,,,,,,,,,,,,,,,,
Anolis ferreus,Marie-Galante Anole,Marie Galante Anole,Morne Constant Anole,Xiphosurus ferreus,Anolis asper,Anolis marmoratus ferreus,Ctenonotus ferreus,,,,,,,,,,,,,,,,,Marie Gallant sail-tailed anole,A. ferreus,,,,,,,,,,,,,,,
Anolis forresti,Barbuda bush anole,Anolis wattsi forresti,Ctenonotus forresti,,,,,,,,,,,,,,,,,,,,,A. forresti,,,,,,,,,,,,,,,,
Anolis gingivinus,Anguilla Bank Tree Anole,Anguilla bank anole,Anguilla Anole,Anolis virgatus,Anolis bimaculatus gingivinus,Ctenonotus gingivinus,Tsin bąąh naʼashǫ́ʼii chį́į́shkį́hí niłhinígíí,,,,,,,,,,,,,,,,,A. gingivinus,,,,,,,,,,,,,,,,
Anolis griseus,Saint Vincent Tree Anole,St Vincent Tree Anole,Saint Vincent’s tree anole,Anolis richardii griseus,Dactyloa grisea,Dactyloa griseus,,,,,,,,,,,,,,,,,,St Vincent’s tree anole,A. griseus,,,,,,,,,,,,,,,
Anolis kahouannensis,Kahouanne Anole,Anolis marmoratus kahouannensis,Ctenonotus kahouannensis,,,,,,,,,,,,,,,,,,,,,A. kahouannensis,,,,,,,,,,,,,,,,
Anolis leachii,Antigua Bank Tree Anole,Barbuda Bank tree anole,Anolis bimaculatus leachii,Anolis bimaculatus leachi,Ctenonotus bimaculatus leachi,Anolis leachi,Ctenonotus leachii,Ctenonotus leachi,,,,,,,,,,,,,,,,Leach's anole,Leachs anole,آنول لیچ,A. leachii,,,,,,,,,,,,,
Anolis lividus,Plymouth Anole,Montserrat Anole,Anolis bimaculatus lividus,Ctenonotus lividus,Naʼashǫ́ʼii chį́į́shkį́hí bitsiiyah halchíʼígíí,,,,,,,,,,,,,,,,,,,A. lividus,,,,,,,,,,,,,,,,
Anolis luciae,Saint Lucia Anole,Saint Lucian anole,St Lucia Anole,Anolis bimaculatus luciae,Anolis trinitatis procuratoris,Dactyloa luciae,Saint Lucia tree lizard,St Lucia tree lizard,,,,,,,,,,,,,,,,St Lucian Anole,A. luciae,,,,,,,,,,,,,,,
