,Unnamed: 0,original_datarow,Species,Quantity,Price,Currency,Price_euro,Intent,Seller_id,lat,lon,Conservation status,CITES
0,0,129,Anolis sabanus,[],[],[],[],Seller,0,54.7023545,-3.2765753,NT,0
1,1,129,Anolis bimaculatus,[],[],[],[],Seller,0,54.7023545,-3.2765753,LC,0
2,2,156,Anolis roquet,[],[],[],[],Seller,0,54.7023545,-3.2765753,LC,0
3,4,598,Thecadactylus oskrobapreinorum,[],199.99,[],[],Seller,1,39.7837304,-100.445882,DD,0
4,8,39259,Anolis gingivinus,[],20,GBP,22.57259912,Seller,2,54.7023545,-3.2765753,LC,0
5,11,43027,Sphaerodactylus sputator,[],74.99,USD,65.97167238,Seller,5,39.7837304,-100.445882,LC,0
6,12,43049,Anolis aeneus,1,29.99,USD,24.90036533,Seller,5,39.7837304,-100.445882,LC,0
7,14,43334,Anolis pogus,[],55.06,GBP,62.51490207,Seller,6,54.7023545,-3.2765753,NT,0
8,15,43336,Anolis gingivinus,[],82.66,GBP,93.85183083,Seller,6,54.7023545,-3.2765753,LC,0
9,21,45753,Anolis roquet,[],[],[],[],Seller,8,[],[],LC,0
10,22,45754,Anolis marmoratus,[],[],[],[],Buyer,9,[],[],LC,0
11,23,45754,Anolis trinitatis,[],[],[],[],Buyer,9,[],[],LC,0
12,24,45758,Anolis roquet,[],[],[],[],[],8,[],[],LC,0
13,25,45760,Anolis wattsii,[],[],[],[],Seller,10,[],[],LC,0
14,26,45761,Anolis roquet,[],[],[],[],Buyer,8,[],[],LC,0
15,27,45763,Anolis wattsii,[],[],[],[],Seller,11,52.2434979,5.6343227,LC,0
16,28,45764,Anolis roquet,[],[],[],[],Seller,12,[],[],LC,0
17,29,45766,Anolis oculatus,[],[],[],[],Buyer,13,[],[],NT,0
18,30,45773,Anolis marmoratus,[],[],[],[],Buyer,14,[],[],LC,0
19,31,45774,Anolis marmoratus,[],[],[],[],[],14,[],[],LC,0
20,32,45775,Anolis oculatus,[],[],[],[],Seller,14,51.1638175,10.4478313,NT,0
21,33,45778,Anolis roquet,[],[],[],[],Buyer,15,[],[],LC,0
22,34,45780,Anolis oculatus,[],[],[],[],Seller,16,[],[],NT,0
23,35,45784,Anolis roquet,[],[],[],[],Buyer,12,51.1638175,10.4478313,LC,0
24,36,45787,Anolis marmoratus,[],[],[],[],Buyer,17,51.1638175,10.4478313,LC,0
25,37,45788,Anolis sabanus,[],[],[],[],Seller,18,51.1638175,10.4478313,NT,0
26,38,45790,Anolis roquet,[],[],[],[],Seller,19,51.1638175,10.4478313,LC,0
27,39,45792,Anolis roquet,[],[],[],[],Seller,20,[],[],LC,0
28,40,45794,Anolis wattsii,[],[],[],[],[],21,[],[],LC,0
29,41,45794,Anolis schwartzi,[],[],[],[],[],21,[],[],LC,0
30,42,45794,Anolis bimaculatus,[],[],[],[],[],21,[],[],LC,0
31,43,45797,Anolis roquet,[],[],[],[],Seller,22,[],[],LC,0
32,44,45798,Anolis roquet,[],[],[],[],[],23,51.1638175,10.4478313,LC,0
33,45,45799,Anolis roquet,[],[],[],[],Buyer,24,[],[],LC,0
