original_datarow,Species,Quantity,Price,Currency,Price_euro,Intent,Seller_id,lat,lon,Conservation status,CITES
129,Anolis sabanus,[],[],[],[],Seller,0,54.7023545,-3.2765753,NT,0
129,Anolis bimaculatus,[],[],[],[],Seller,0,54.7023545,-3.2765753,LC,0
156,Anolis roquet,[],[],[],[],Seller,0,54.7023545,-3.2765753,LC,0
598,Thecadactylus oskrobapreinorum,[],199.99,[],[],Seller,1,39.7837304,-100.445882,DD,0
39259,Anolis gingivinus,[],20,GBP,22.57259912,Seller,2,54.7023545,-3.2765753,LC,0
43027,Sphaerodactylus sputator,[],74.99,USD,65.97167238,Seller,5,39.7837304,-100.445882,LC,0
43049,Anolis aeneus,1,29.99,USD,24.90036533,Seller,5,39.7837304,-100.445882,LC,0
43334,Anolis pogus,[],55.06,GBP,62.51490207,Seller,6,54.7023545,-3.2765753,NT,0
43336,Anolis gingivinus,[],82.66,GBP,93.85183083,Seller,6,54.7023545,-3.2765753,LC,0
45753,Anolis roquet,[],[],[],[],Seller,8,[],[],LC,0
45754,Anolis marmoratus,[],[],[],[],Buyer,9,[],[],LC,0
45754,Anolis trinitatis,[],[],[],[],Buyer,9,[],[],LC,0
45758,Anolis roquet,[],[],[],[],[],8,[],[],LC,0
45760,Anolis wattsii,[],[],[],[],Seller,10,[],[],LC,0
45761,Anolis roquet,[],[],[],[],Buyer,8,[],[],LC,0
45763,Anolis wattsii,[],[],[],[],Seller,11,52.2434979,5.6343227,LC,0
45764,Anolis roquet,[],[],[],[],Seller,12,[],[],LC,0
45766,Anolis oculatus,[],[],[],[],Buyer,13,[],[],NT,0
45773,Anolis marmoratus,[],[],[],[],Buyer,14,[],[],LC,0
45774,Anolis marmoratus,[],[],[],[],[],14,[],[],LC,0
45775,Anolis oculatus,[],[],[],[],Seller,14,51.1638175,10.4478313,NT,0
45778,Anolis roquet,[],[],[],[],Buyer,15,[],[],LC,0
45780,Anolis oculatus,[],[],[],[],Seller,16,[],[],NT,0
45784,Anolis roquet,[],[],[],[],Buyer,12,51.1638175,10.4478313,LC,0
45787,Anolis marmoratus,[],[],[],[],Buyer,17,51.1638175,10.4478313,LC,0
45788,Anolis sabanus,[],[],[],[],Seller,18,51.1638175,10.4478313,NT,0
45790,Anolis roquet,[],[],[],[],Seller,19,51.1638175,10.4478313,LC,0
45792,Anolis roquet,[],[],[],[],Seller,20,[],[],LC,0
45794,Anolis wattsii,[],[],[],[],[],21,[],[],LC,0
45794,Anolis schwartzi,[],[],[],[],[],21,[],[],LC,0
45794,Anolis bimaculatus,[],[],[],[],[],21,[],[],LC,0
45797,Anolis roquet,[],[],[],[],Seller,22,[],[],LC,0
45798,Anolis roquet,[],[],[],[],[],23,51.1638175,10.4478313,LC,0
45799,Anolis roquet,[],[],[],[],Buyer,24,[],[],LC,0
45803,Anolis roquet,[],[],[],[],Buyer,25,[],[],LC,0
45809,Anolis roquet,[],[],[],[],Buyer,26,[],[],LC,0
45810,Anolis roquet,[],[],[],[],Seller,27,[],[],LC,0
45811,Anolis roquet,[],[],[],[],Seller,28,[],[],LC,0
45812,Anolis wattsii,[],[],[],[],Seller,28,[],[],LC,0
45816,Anolis roquet,[],[],[],[],Seller,25,[],[],LC,0
45817,Anolis roquet,[],[],[],[],Seller,29,[],[],LC,0
45821,Anolis roquet,[],[],[],[],Buyer,30,[],[],LC,0
45823,Anolis roquet,[],[],[],[],Buyer,31,51.1638175,10.4478313,LC,0
45826,Anolis marmoratus,[],[],[],[],Buyer,19,[],[],LC,0
45827,Anolis roquet,[],[],[],[],Seller,24,[],[],LC,0
45832,Anolis roquet,[],[],[],[],Seller,29,51.1638175,10.4478313,LC,0
45836,Anolis roquet,[],[],[],[],Buyer,19,51.1638175,10.4478313,LC,0
45839,Anolis roquet,[],[],[],[],Seller,32,[],[],LC,0
45845,Anolis roquet,[],[],[],[],Seller,33,[],[],LC,0
45857,Anolis oculatus,[],[],[],[],Seller,28,[],[],NT,0
45863,Anolis roquet,[],[],[],[],Seller,34,[],[],LC,0
45865,Anolis roquet,[],[],[],[],Seller,35,[],[],LC,0
45868,Anolis roquet,[],[],[],[],Buyer,36,51.1638175,10.4478313,LC,0
45870,Anolis roquet,[],[],[],[],Seller,18,51.1638175,10.4478313,LC,0
45900,Anolis roquet,[],[],[],[],Seller,37,[],[],LC,0
45901,Anolis wattsii,[],[],[],[],Buyer,38,[],[],LC,0
45916,Anolis marmoratus,[],[],[],[],Buyer,10,51.1638175,10.4478313,LC,0
45918,Anolis roquet,[],[],[],[],Buyer,39,[],[],LC,0
45918,Anolis wattsii,[],[],[],[],Buyer,39,[],[],LC,0
45920,Anolis oculatus,[],[],[],[],Seller,14,[],[],NT,0
45920,Anolis marmoratus,[],[],[],[],Seller,14,[],[],LC,0
45921,Anolis roquet,[],[],[],[],Buyer,40,[],[],LC,0
45933,Anolis extremus,[],[],[],[],Seller,41,51.1638175,10.4478313,LC,0
45937,Anolis sabanus,[],[],[],[],Seller,42,[],[],NT,0
45938,Anolis roquet,[],[],[],[],Seller,43,51.1638175,10.4478313,LC,0
45939,Anolis sabanus,[],[],[],[],Seller,10,51.1638175,10.4478313,NT,0
45940,Anolis trinitatis,[],[],[],[],Buyer,44,51.1638175,10.4478313,LC,0
45943,Anolis roquet,[],[],[],[],Seller,45,51.1638175,10.4478313,LC,0
45945,Anolis sabanus,[],[],[],[],Seller,42,51.1638175,10.4478313,NT,0
45951,Anolis marmoratus,[],[],[],[],[],46,[],[],LC,0
45951,Anolis roquet,[],[],[],[],[],46,[],[],LC,0
45956,Anolis roquet,[],[],[],[],Seller,40,[],[],LC,0
45961,Anolis oculatus,[],[],[],[],Seller,47,[],[],NT,0
45963,Anolis roquet,[],[],[],[],Seller,48,[],[],LC,0
45964,Anolis roquet,[],[],[],[],Seller,37,51.1638175,10.4478313,LC,0
45966,Anolis roquet,[],[],[],[],Buyer,49,51.1638175,10.4478313,LC,0
45969,Anolis oculatus,[],[],[],[],Buyer,44,51.1638175,10.4478313,NT,0
45970,Anolis trinitatis,[],[],[],[],Buyer,50,[],[],LC,0
45979,Anolis roquet,[],[],[],[],Seller,42,51.1638175,10.4478313,LC,0
45985,Anolis oculatus,[],[],[],[],Seller,10,51.1638175,10.4478313,NT,0
45985,Anolis roquet,[],[],[],[],Seller,10,51.1638175,10.4478313,LC,0
45997,Anolis oculatus,[],[],[],[],Buyer,19,51.1638175,10.4478313,NT,0
45999,Anolis marmoratus,[],[],[],[],Seller,35,[],[],LC,0
46008,Anolis roquet,[],[],[],[],[],51,[],[],LC,0
46009,Anolis roquet,[],[],[],[],Seller,52,[],[],LC,0
46018,Anolis oculatus,[],[],[],[],Buyer,53,51.1638175,10.4478313,NT,0
46022,Anolis roquet,[],[],[],[],Buyer,54,51.1638175,10.4478313,LC,0
46027,Anolis roquet,[],[],[],[],Seller,55,51.1638175,10.4478313,LC,0
46044,Anolis sabanus,[],[],[],[],Seller,57,[],[],NT,0
46046,Anolis sabanus,[],[],[],[],Seller,58,[],[],NT,0
46049,Anolis sabanus,[],[],[],[],Buyer,44,51.1638175,10.4478313,NT,0
46056,Anolis oculatus,[],[],[],[],Buyer,40,[],[],NT,0
46056,Anolis sabanus,[],[],[],[],Buyer,40,[],[],NT,0
46057,Anolis roquet,[],[],[],[],Seller,11,[],[],LC,0
46058,Anolis oculatus,[],[],[],[],Buyer,59,[],[],NT,0
46059,Anolis oculatus,[],[],[],[],Seller,59,[],[],NT,0
46072,Anolis oculatus,[],[],[],[],Buyer,60,51.1638175,10.4478313,NT,0
46072,Anolis marmoratus,[],[],[],[],Buyer,60,51.1638175,10.4478313,LC,0
46072,Anolis roquet,[],[],[],[],Buyer,60,51.1638175,10.4478313,LC,0
46072,Anolis trinitatis,[],[],[],[],Buyer,60,51.1638175,10.4478313,LC,0
46075,Anolis extremus,[],[],[],[],Seller,61,[],[],LC,0
46075,Anolis marmoratus,[],[],[],[],Seller,61,[],[],LC,0
46075,Anolis roquet,[],[],[],[],Seller,61,[],[],LC,0
46077,Anolis roquet,[],[],[],[],Seller,62,51.1638175,10.4478313,LC,0
46092,Anolis sabanus,[],[],[],[],Seller,10,[],[],NT,0
46093,Anolis trinitatis,[],[],[],[],Seller,64,[],[],LC,0
46112,Anolis oculatus,[],[],[],[],Seller,59,51.1638175,10.4478313,NT,0
46120,Anolis bimaculatus,[],[],[],[],Buyer,59,[],[],LC,0
46124,Anolis roquet,[],[],[],[],[],65,[],[],LC,0
46125,Anolis roquet,[],[],[],[],Buyer,66,[],[],LC,0
46135,Anolis extremus,[],[],[],[],Buyer,10,[],[],LC,0
46135,Anolis leachii,[],[],[],[],Buyer,10,[],[],LC,0
46139,Anolis trinitatis,[],[],[],[],Seller,59,[],[],LC,0
46140,Anolis aeneus,[],[],[],[],Seller,67,[],[],LC,0
46147,Anolis wattsii,[],[],[],[],Buyer,68,[],[],LC,0
46148,Anolis marmoratus,[],[],[],[],Seller,59,51.1638175,10.4478313,LC,0
46162,Anolis roquet,[],[],[],[],[],37,51.1638175,10.4478313,LC,0
46166,Anolis marmoratus,[],[],[],[],Buyer,59,[],[],LC,0
46169,Anolis roquet,[],[],[],[],Buyer,52,[],[],LC,0
46171,Anolis roquet,[],[],[],[],Buyer,10,51.1638175,10.4478313,LC,0
46172,Anolis roquet,[],[],[],[],Seller,11,51.1638175,10.4478313,LC,0
46173,Anolis roquet,[],[],[],[],Seller,59,51.1638175,10.4478313,LC,0
46176,Anolis trinitatis,[],[],[],[],Buyer,64,[],[],LC,0
46179,Anolis oculatus,[],[],[],[],Buyer,67,51.1638175,10.4478313,NT,0
46179,Anolis sabanus,[],[],[],[],Buyer,67,51.1638175,10.4478313,NT,0
46179,Anolis bimaculatus,[],[],[],[],Buyer,67,51.1638175,10.4478313,LC,0
46182,Anolis roquet,[],[],[],[],Seller,69,[],[],LC,0
46200,Anolis roquet,[],[],[],[],Buyer,55,[],[],LC,0
46203,Anolis extremus,[],[],[],[],Buyer,61,[],[],LC,0
46209,Anolis marmoratus,[],[],[],[],Seller,70,[],[],LC,0
46213,Anolis gingivinus,[],[],[],[],Seller,71,39.7837304,-100.445882,LC,0
46213,Anolis wattsii,[],[],[],[],Seller,71,39.7837304,-100.445882,LC,0
46213,Anolis pogus,[],[],[],[],Seller,71,39.7837304,-100.445882,NT,0
46213,Anolis bimaculatus,[],[],[],[],Seller,71,39.7837304,-100.445882,LC,0
46213,Anolis roquet,[],[],[],[],Seller,71,39.7837304,-100.445882,LC,0
46214,Anolis extremus,[],[],[],[],[],72,[],[],LC,0
46215,Anolis oculatus,[],[],[],[],Seller,62,[],[],NT,0
46218,Anolis trinitatis,[],[],[],[],Buyer,40,[],[],LC,0
46230,Anolis roquet,[],[],[],[],Seller,66,[],[],LC,0
46231,Anolis roquet,[],[],[],[],Buyer,65,[],[],LC,0
46247,Anolis marmoratus,[],[],[],[],Buyer,73,51.1638175,10.4478313,LC,0
46247,Anolis roquet,[],[],[],[],Buyer,73,51.1638175,10.4478313,LC,0
46249,Anolis oculatus,[],[],[],[],Seller,33,[],[],NT,0
46249,Anolis marmoratus,[],[],[],[],Seller,33,[],[],LC,0
46260,Anolis roquet,[],[],[],[],Buyer,74,51.1638175,10.4478313,LC,0
46261,Anolis oculatus,[],[],[],[],Buyer,44,[],[],NT,0
46272,Anolis roquet,[],[],[],[],Seller,30,39.7837304,-100.445882,LC,0
46280,Anolis sabanus,[],[],[],[],Seller,40,[],[],NT,0
46285,Anolis oculatus,[],[],[],[],Seller,75,[],[],NT,0
46286,Anolis roquet,[],[],[],[],Seller,76,[],[],LC,0
46306,Anolis oculatus,[],[],[],[],Seller,40,51.1638175,10.4478313,NT,0
46306,Anolis roquet,[],[],[],[],Seller,40,51.1638175,10.4478313,LC,0
46334,Anolis marmoratus,[],[],[],[],Buyer,28,[],[],LC,0
46342,Anolis trinitatis,[],[],[],[],Buyer,28,[],[],LC,0
46346,Anolis roquet,[],[],[],[],Seller,54,[],[],LC,0
46348,Anolis oculatus,[],[],[],[],Seller,77,51.1638175,10.4478313,NT,0
